iIndex,sQuestion,lEquations
484,Alyssa 's dog had puppies . She gave 7 to her friends . She now has 5 puppies . How many puppies did she have to start with ?,x=a+b
485,A restaurant served 9 pizzas during lunch and 6 during dinner today . How many pizzas were served today ?,x=a+b
486,There are 2 pencils in the drawer . Tim placed 3 pencils in the drawer . How many pencils are now there in total ?,x=a+b
487,Joan found 6 seashells and Jessica found 8 seashells on the beach . How many seashells did they find together ?,x=a+b
488,Sandy grew 6 carrots . Sam grew 3 carrots . How many carrots did they grow in total ?,x=a+b
489,Benny picked 2 apples and Dan picked 9 apples from the apple tree . How many apples were picked in total ?,x=a+b
490,"Sally found 9 seashells , Tom found 7 seashells , and Jessica found 5 seashells on the beach . How many seashells did they find together ?",x=a+b+c
491,Tim 's cat had kittens . He gave 3 to Jessica and 6 to Sara . He now has 9 kittens . How many kittens did he have to start with ?,x=a+b+c
492,"Joan has 9 blue balloons , Sally has 5 blue balloons , and Jessica has 2 blue balloons . How many blue balloons do they have in total ?",x=a+b+c
493,Melanie had 7 dimes in her bank . Her dad gave her 8 dimes and her mother gave her 4 dimes . How many dimes does Melanie have now ?,x=a+b+c
494,A restaurant served 5 cakes during lunch and 6 during dinner today . The restaurant served 3 cakes yesterday . How many cakes were served in total ?,x=a+b+c
495,"Melanie picked 4 plums , Dan picked 9 plums , and Sally picked 3 plums from the plum tree . How many plums were picked in total ?",x=a+b+c
496,There are 7 dogwood trees currently in the park . Park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,x=a+b+c
497,"Sara grew 4 onions , Sally grew 5 onions , and Fred grew 9 onions . How many onions did they grow in all ?",x=a+b+c
498,Jason has 43 blue and 16 red marbles . Tom has 24 blue marbles . How many blue marbles do they have in all ?,x=a+b
499,Sam found 18 seashells and Mary found 47 seashells on the beach . How many seashells did they find together ?,x=a+b
500,Jason grew 23 watermelons and 18 turnips . Nancy grew 28 watermelons . How many watermelons did they grow in total ?,x=a+b
501,There are 11 rulers and 34 crayons in the drawer . Tim placed 14 rulers in the drawer . How many rulers are now there in all ?,x=a+b
502,Sara picked 45 pears and Sally picked 11 pears from the pear tree . How many pears were picked in total ?,x=a+b
503,Keith has 20 books . Jason has 21 books . How many books do they have together ?,x=a+b
504,Jason had 49 quarters in his bank . His dad gave him 25 quarters . How many quarters does he have now ?,x=a+b
505,"Tom found 15 seashells and Fred found 43 seashells on the beach . When they cleaned them , they discovered that 29 were cracked . How many seashells did they find together ?",x=a+b
506,Sara has 31 red and 15 green balloons . Sandy has 24 red balloons . How many red balloons do they have in total ?,x=a+b
507,Joan picked 37 oranges and Sara picked 10 oranges . Alyssa picked 30 pears . How many oranges were picked in total ?,x=a+b
508,There are 39 dogwood trees currently in the park . Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,x=a+b+c
509,"Sandy has 10 books , Benny has 24 books , and Tim has 33 books . How many books do they have together ?",x=a+b+c
510,"Jason picked 46 pears , Keith picked 47 pears , and Mike picked 12 pears from the pear tree . How many pears were picked in total ?",x=a+b+c
511,"Keith grew 29 cantelopes , Fred grew 16 cantelopes , and Jason grew 20 cantelopes . How many cantelopes did they grow in total ?",x=a+b+c
512,"Dan found 56 seashells on the beach , he gave Jessica some of his seashells . He has 22 seashell . How many seashells did he give to Jessica ?",x=a-b
513,Sally had 13 peaches at her roadside fruit dish . She went to the orchard and picked peaches to stock up . There are now 55 peaches . how many did she pick ?,x=b-a
514,"Benny received 67 dollars for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 33 dollars over , how much did he spent on the baseball gear ?",x=a-b
515,There were 3 roses in the vase . Alyssa cut some roses from her flower garden . There are now 14 roses in the vase . How many roses did she cut ?,x=b-a
516,Last week Tom had 74 dollars . He washed cars over the weekend and now has 86 dollars . How much money did he make washing cars ?,x=b-a
517,There were 73 bales of hay in the barn . Jason stacked bales in the barn today . There are now 96 bales of hay in the barn . How many bales did he store in the barn ?,x=b-a
518,Nancy grew 6 potatoes . Sandy grew 7 potatoes . How many potatoes did they grow in total ?,x=a+b
519,There are 9 crayons in the drawer . Benny placed 3 crayons in the drawer . How many crayons are now there in total ?,x=a+b
520,There are 5 oak trees currently in the park . Park workers will plant 4 oak trees today . How many oak trees will the park have when the workers are finished ?,x=a+b
521,Tom found 7 seashells but 4 were broken . How many unbroken seashells did Tom find ?,x=a-b
522,There are 115 pencils in the drawer . Sara placed 100 pencils in the drawer . How many pencils are now there in all ?,x=a+b
523,Jason has 3 Pokemon cards . Benny bought 2 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,x=a-b
524,"Mike has 8 orange marbles , he gave Sam 4 of the marbles . How many orange marbles does he now have ?",x=a-b
525,Joan had 5 dimes in her bank . She spent 2 of her dimes . How many dimes does she have now ?,x=a-b
526,Ayaz made an extra 8000 dollars last year from a part-time job. He invested part of the money at 9 % and the rest at 8 %. He made a total of 770 dollars in interest. How much was invested at 8 %?,b*x+c*y=d;1*x+1*y=a
527,0.75 of a number is 4 more than 0.5 of the number. Find the number.,x=b/(a-c)
528,"An agency specializing in temporary construction help pays heavy equipment operators 180 dollars per day and general laborers 110 dollars per day. If 35 people were hired and the payroll was 3950 dollars , how many heavy equipment operators were employed? How many laborers were employed?",a*x+b*y=d;1*x+1*y=c
529,"Best Rentals charges a daily fee plus a mileage fee for renting its cars. Barney was charged 90 dollars for 3 days and 500 miles , while Mary was charged 150 dollars for 5 days and 800 miles. Find the daily fee and find the mileage charge?",b*x+c*y=a;e*x+f*y=d
530,A chemist has one solution that is 15 % acid and a second that is 25 % acid. How many liters of each should be mixed together to get 200 liters that is 18 % acid?,a*x+b*y=d*e;1*x+1*y=c
531,There are 30 students in an Biology class. There are 5 fewer girls than boys. How many girls are in the class?,1*x+1*y=a;-1*x+1*y=b
532,"During the 1995-1996 Little League season , the Tigers played 50 games. They lost 15 more games than they won. They did n't tie any. How many games did they win that season?",1*x+1*y=a;-1*x+1*y=b
533,One number exceeds another by 5 and their sum is 34. Find the smaller number.,1*x+1*y=a;-1*x+1*y=b
534,A chemistry lab can be used by 35 students at one time. The lab has 15 work-stations.  Some set up for 2 students and the others set up for 3 students. How many work-stations accommodate 2 students?,c*x+d*y=a;1*x+1*y=b
535,"A bricklayer and an electrician together spend 95 hours working on a new house. If the bricklayer earns 15 dollars per hour , the electrician earns 17 dollars an hour , and the owner pays them a total of 1350 dollars for their work , how many hours does the bricklayer work? How many hours does the electrician work?",b*x+c*y=d;1*x+1*y=a
536,"A music concert brought in 150,000 dollars with the sale of 7000 tickets. If tickets were sold for 20 dollars and 30 dollars each , how many 20-dollar tickets were sold? How many 30-dollar tickets?",c*x+d*y=a;1*x+1*y=b
537,"The total attendance at a rally was 700 people. Tickets bought before the rally were 2 dollars each , and tickets bought at the door were 3 dollars each. How many tickets were bought at the door if the total receipts were 1706.25 dollars? How many tickets were bought before the rally?",b*x+c*y=d;1*x+1*y=a
538,"A school is selling tickets for a performance. They have adult and child tickets. Each adult ticket is 4 dollars and each child ticket is 3 dollars. By the end of the week , there was 178 dollars in sales from 42 tickets sold. How many adult tickets were sold? How many child tickets?",a*x+b*y=c;1*x+1*y=d
539,A farmhouse has 20 animals. Some are goats and some are ducks. Altogether there are 56 legs. How many of each animal are there?,2*x+4*y=b;1*x+1*y=a
540,"An employment agency specializing in temporary help pays heavy operators 130 dollars per day and general laborers 80 dollars per day. If 35 people were hired and the payroll was 3952 dollars , how many heavy operators were employed? How many laborers?",a*x+b*y=d;1*x+1*y=c
541,"A cashier has a total of 120 bills , made up of 5-dollar bills and 10-dollar bills. The total value of the money is 850 dollars. How many 5-dollar bills does he have? How many 10-dollar bills?",b*x+c*y=d;1*x+1*y=a
542,"Zenat sold pumpkins from his farm. He sold jumbo pumpkins for 10 dollars each , and he sold regular pumpkins for 5 dollars each. Zenat sold 80 pumpkins and collected 395 dollars. How many jumbo pumpkins and regular pumpkins did he sell?",a*x+b*y=d;1*x+1*y=c
543,"A grocer bought 15 bushels of Baldwin and McInotosh apples. Baldwins costs 90 cents a bushel , but McIntosh cost only 80 cents a bushel. If he paid 12 dollars for the lot , how many bushels of Baldwins did he get? How many bushels of McIntosh?",b*x+c*y=d;1*x+1*y=a
544,"The sum of two numbers is 70 , one number is 9 more than the other. Find the numbers.",1*x+1*y=a;1*x-1*y=b
545,"The difference between two numbers is 7. Find the numbers , if their sum is 45.",1*x+1*y=b;1*x-1*y=a
546,"On a certain hot summer 's day , 750 people used the public swimming pool. The daily prices are 1.75 dollars for children and 2.25 dollars for adults. The receipts for admission totaled 1422 dollars. How many children and adults swam at the public pool that day?",b*x+c*y=d;1*x+1*y=a
547,"Zoya has 6 dollars in nickels and dimes. If she has 60 coins , how many nickels does she have? How many dimes?",0.05*x+0.1*y=a;1*x+1*y=b
548,"There are 3 more girls than boys in Math 's class , and the sum of girls and boys is 42. How many boys are in the class? How many girls are in the class?",1*x+1*y=b;1*x-1*y=a
549,"2 automobiles start out from two points 550 kilometers apart and travel toward each other.The automobile from the east travels at 12 kilometers faster than the automobile from the west. If they meet after 5 hours , what is the average speed of each automobile?",d*x+d*y=b;1*x-1*y=c*b
550,A garage owner wants to fill a 50 gallon drum with a 20 percent winter mixture of antifreeze for his customers. How many gallons of 100 percent antifreeze should he mix with some 10 percent antifreeze mixture in order to fill the drum?,c*x+d*y=a*b;1*x+1*y=a
551,A farmer has cows and chickens. He only sees 46 legs and 15 heads. How many are cows and how many are chickens?,4*x+2*y=a;1*x+1*y=b
552,The tickets cost 9 dollars for adults and 6 dollars for children. A group of 7 moviegoers pays a total of 54.50 dollars. How many adults and children were in the group?,a*x+b*y=d;1*x+1*y=c
553,There are 20 kids in Mrs shanaz ' class. There are twice as many girls as boys. How many boys and girls are there?,1*x-b*y=0;1*x+1*y=a
554,"There are 800 tickets are sold on a specific day. An advanced ticket costs 14.50 dollars and a ticket at the door costs 22.00 dollars. In all , 16,640 dollars was taken in. How many tickets were sold at the door? How many advanced tickets were sold?",b*x+c*y=d;1*x+1*y=a
555,Naz bought 18 pounds of nuts at a party. The total cost was 82 dollars. The peanuts cost 4 dollars per pound and the almounds cost 6 dollars per pound. How many pounds of peanuts did Naz buy? How many pounds of almounds did Naz buy?,c*x+d*y=b;1*x+1*y=a
556,The greater of two numbers is 7 times the lesser and their sum is 185. Find the numbers.,1*x-a*y=0;1*x+1*y=b
557,The second number is 5 less than twice the first number. Their sum is 99. Find the second number.,c*x-1*y=b;1*x+1*y=d
558,"For his long distance phone calls , John pays a 2 dollars monthly fee plus 25 cents per minute. Last month , John 's long distance bill was 7 dollars. For how many minutes was John billed?",x=(c-a)/b
559,"The Willey Farm Collective , farmed by several branches of the Willeys , has 4000 acres of land available for raising corn and wheat. The cost of raising corn is 40 dollars an acre , while the cost of wheat is 35 dollars an acre. The Collective 's available capital is 165,200 dollars. How many acres of corn should the Collective plant? How many acres of wheat should the collective plant?",b*x+c*y=d;1*x+1*y=a
560,During a sale an automobile dealer sold 60 cars and trucks. If she sold 20 more cars than trucks how many trucks did she sell?,1*x+1*y=a;1*x-1*y=b
561,"On a certain event , 820 tickets were sold , for a total of 1003 dollars. If students paid 2 dollars per ticket and nonstudents paid 3 dollars per ticket , how many student tickets were sold?",c*x+d*y=b;1*x+1*y=a
562,Mrs. Naidu bought 150 dollars in groceries. She paid her bill with 6-dollar notes and 21-dollar notes using a total of 14 notes. How many 6-dollar notes were used? How many 21-dollar notes were used?,b*x+c*y=a;1*x+1*y=d
563,A water flow restrictor has reduced the flow of water to 2.1 gallons per minute. This amount is 1.3 gallon per minute less than 0.5 the original flow rate. Find the original rate in gallons per minute.,x=(a+b)/c
564,Find two numbers whose sum is 140 and one is 3 greather than 0.75 of the other.,1*x-c*y=b;1*x+1*y=a
565,There are 13 animals in a barn. Some are chickens and some are dogs. There are 40 legs in the barn. How many are dogs are there and how many chicken are there?,2*x+4*y=b;1*x+1*y=a
566,5 times a number is added to 4 times a number to get 60. The second number is 3 less than the first. What is the smaller number? What is the larger number?,a*x+b*y=c;1*x-1*y=d
567,How many liters of a 70% acid solution must be mixed with a 75% acid solution to get 20 liters of a 72 % solution?,a*x+b*y=c*d;1*x+1*y=c
568,"A manufacturer produces two models of a car , Model A and Model B. Model A takes 4 hours to produce and costs 8 dollars each. Model B takes 5 hours to produce and costs 7 dollars each. If the manufacturer allots a total of 5800 hours and 12,600 dollars for production each week , how many of each model will be produced?",a*x+c*y=e;b*x+d*y=f
569,"An amusement park sells tickets.  Tickets for children cost 1.75 dollars.  Adult tickets cost 3 dollars.  On a certain day , 278 people entered the park.  On that same day the admission fees collected totaled 792 dollars. How many children were admitted on that day? How many adults were admitted?",b*x+c*y=e;1*x+1*y=d
570,"Post card stamps are 0.5 dollars each. Letter stamps cost 0.7 dollars each. If you have 50 stamps worth 18 dollars , how many post card stamps do you have? How many letter stamps?",a*x+b*y=d;1*x+1*y=c
571,"River Joes 's Seafood Diner charges 6 dollars for a catfish dinner and 4 dollars for an order of popcorn shrimp. After filling 25 orders , River Joe had collected 135 dollars. How many orders of popcorn shrimp and catfish dinners did they sell?",a*x+b*y=d;1*x+1*y=c
572,"A movie theater charges 4.50 dollars for children and 6.75 dollars for adults. At today 's matinee , there are 14 more children than adults and the total receipts are 405 dollars. How many children are at today 's matinee?",a*x+b*y=d;1*x-1*y=c
573,The difference between two numbers is 7. Their sum is 15. Find the numbers. What is the larger number? What is the smaller number?,1*x+1*y=c;1*x-1*y=b
574,"Nazia asked a bank teller to cash a 360 dollars check using 20-dollar bills and 50-dollar bills. If the teller gave her a total of 15 bills , how many 20-dollar bills did she get? How many 50-dollar bills?",b*x+c*y=a;1*x+1*y=d
575,"A theater sold 800 tickets to a play. Floor seats cost 10 dollars each and balcony seats 12 dollars each. Total receipts were 9,780 dollars. How many floor seats were sold? How many balcony seats were sold?",b*x+c*y=d;1*x+1*y=a
576,"A movie theater charges 8 dollars for an adult and 6 dollars for a child 's ticket. One night , 900 tickets were sold for a total of 5400 dollars. How many adult tickets were sold? How many child 's tickets were sold?",a*x+b*y=d;1*x+1*y=c
577,Eldora and Finn went to an office supply store together. Eldora bought 17 boxes of paper clips and 8 packages of index cards for a total cost of 55.40 dollars. Finn bought 12 boxes of paper clips and 10 packages of index cards for a total cost of 61.70 dollars. Find the cost of one box of paper clips and the cost of one package of index cards.,a*x+b*y=c;d*x+e*y=f
578,The sum of 2 numbers is 80. The larger number is 2 more than 3 times the smaller number. Find the smaller number. Find the larger number.,-c*x+1*y=d;1*x+1*y=b
579,"A high school sold gift wrap. The gift wrap in solid colors sold for 5 dollars per roll and the print gift wrap sold for 7 dollars per roll. The total number of rolls sold was 480 rolls , and the total amount of money collected was 2,340.00 dollars. How many solid rolls were sold? How many print rolls were sold?",a*x+b*y=d;1*x+1*y=c
580,"An embossing shop etches metal with acid solutions. The owner is discussing a certain job with the job supervisor , and they decide to use 40 ounces of a 30 % solution. Upon checking the acid solution supplies , the supervisor has found some 25 % acid solution and some 50 % acid solution , but there is no 40 % acid solution. The owner explains to the supervisor how the two existing solutions can be mixed to obtain a 40 % acid solution. How much of each solution is needed?",b*x+c*y=a*b;1*x+1*y=a
581,Jane has a dress shop. She has space for 201 dresses. She sells only red and blue dresses. After reading several fashion magazines she decides to stock her shelves with 34 more blue dresses than red dresses. How many blue dresses and red dresses should she stock?,1*x+1*y=a;-1*x+1*y=b
582,"A special tea blend is made from two varieties of herbal tea , one that costs 4 dollars per kilogram and another that costs 2 dollars per kilogram. How many kilograms of each type are needed to make 20 kilograms of a blend worth 2.50 dollars per kilogram?",b*x+c*y=d*e;1*x+1*y=d
583,"The Lakers scored a total of 60 points in a basketball game against the Bulls. The Lakers made a total of 35 baskets , consisting of 2 point baskets and 3 point baskets. How many 2 point baskets did the Lakers make? How many 3 point baskets did the Lakers make?",c*x+d*y=a;1*x+1*y=b
584,"In a week , a music store sold 9 violins for a total of 1600 dollars. 2 different types were sold. One cost 200 dollars and the other cost 300 dollars. How many 200-dollar violins were sold? How many 300-dollar violins were sold?",d*x+e*y=b;1*x+1*y=a
585,Sunshine Car Rentals rents a basic car at a daily rate of 18 dollars plus 0.18 per mile. City Rentals rents a basic car at 19 dollars plus 0.16 per mile. For what mileage is the cost the same?,x=(c-a)/(b-d)
586,The sum of 30 and twice a number is 124. Find the number.,x=(c-a)/b
587,"A company 's profit for the first half of the year is 3,000,000 dollars greater than the profit for the second half. If the total annual profit is 3,635,000 dollars , find the profit for the first half-year and the second half-year.",1*x+1*y=b;1*x-1*y=a
588,"Pat invested a total of 4,000 dollars. Part of the money yields 10 percent interest per year and the rest yields 8 percent interest per year. If the total yearly interest from this investment is 256 dollars , how much did Pat invest at 10 percent and how much at 8 percent?",b*x+c*y=d;1*x+1*y=a
589,"3 similar tables and 7 similar chairs cost 700 dollars. If the table cost 50 dollars more than a chair , what is the cost , in dollars , of the table? What is the cost of the chair?",a*x+b*y=c;1*x-1*y=d
590,The state market has 20 more apples than oranges. There are 300 apples and oranges all together. How many apples are in the market?,1*x+1*y=b;1*x-1*y=a
591,Find the number whose double is 70 greater than its half?,x=b/(a-c)
592,A carpenter gave an estimate of 990 dollars to build a cover over a patio. His hourly rate is 28 dollars and he expects to need 560 dollars in materials. How many hours will the job take?,x=(a+c)/b
593,"Adult tickets for a play cost 8 dollars and child tickets cost 6 dollars. If there were 22 people at a performance and the theater collected 50 dollars from ticket sales , how many children attended the play?",a*x+b*y=d;1*x+1*y=c
594,kevin bought 4 muffins and a bottle of juice that cost 2 dollars. He paid a total of 5 dollars. How much did each muffin cost?,x=(c-b)/a
595,One blend of coffee sells for 9 dollars per pound and another blend sells for 8 dollars per pound. You want to make a 20 pound blend that sells for 8.5 dollars per pound. How many pounds of the 8 dollars per pound coffee do you need? How many pounds of the 9 dollars per pound coffee do you need?,b*x+c*y=d*e;1*x+1*y=d
596,"The tallest player on the basketball team is 70.75 inches tall. This is 8.5 inches taller than the shortest player. How tall is the shortest player , in inches?",x=a-b
597,0.40 of a number decreased by 5 is equal to 7. Find the number.,x=(c+b)/a
598,"The sum of the numbers of boys and girls in a class is 30. If twice the number of girls exceeds the number of boys by 12 , find the number of girls in the class. Find the number of boys.",b*x-c*y=0;1*x+1*y=a
599,The probability that San Francisco plays in the next super bowl is seven times the probability that they do not play in the next super bowl. The probability that San Francisco plays in the next super bowl plus the probability that they do not play is 1. What is the probability that San Francisco plays in the next super bowl?,1*x-a*y=0;1*x+1*y=b
600,"If 4 apples and 2 oranges equals 2 dollars and 2 apples and 3 orange equals 1 dollars , how much does each apple and each orange cost?",a*x+b*y=c;d*x+e*y=f
601,"A washer-dryer combination costs 1500 dollars. If the washer costs 250 dollars more than the dryer , what does the washer cost? How much does the dryer cost?",1*x+1*y=b;1*x-1*y=a
602,There are 12 animals in a barnyard. Some are chickens and some are cows. There are 40 legs in all. How many chickens and cows are in the barnyard?,2*x+4*y=b;1*x+1*y=a
603,Riza was 22 when her first son was born. Today the sum of their ages is 95. How old is Riza and her son now?,1*x+1*y=b;1*x-1*y=a
604,"Each unit of grain A contains 3 grams of fat and 70 calories , and unit B has 4 grams of fat and 60 calories. If the final product is to provide 18 grams of fat and 480 calories , how much of grain A and how much of grain B should be used.",a*x+b*y=e;c*x+d*y=f
605,Find two numbers whose sum is 150 and one is 4 greather than 0.5 of the other.,1*x-c*y=b;1*x+1*y=a
606,There are 14 animals in a barn. Some are chickens and some are pigs. There are 42 legs in the barn. How many are pigs are there and how many chicken are there?,2*x+4*y=b;1*x+1*y=a
607,7 times a number is added to 9 times a number to get 99. The second number is 3 less than the first. What is the smaller number? What is the larger number?,a*x+b*y=c;1*x-1*y=d
608,How many liters of a 50% acid solution must be mixed with a 70% acid solution to get 20 liters of a 72% solution?,a*x+b*y=c*d;1*x+1*y=c
609,"A real estate agent received a 6% commission on the selling price of a house. If his commission was $8,880, what was the selling price of the house?",x=b/a
610,"A shop sells bicycles and tricycles. In total there are 7 cycles (cycles include both bicycles and tricycles) and 19 wheels. Determine how many of each there are, if a bicycle has two wheels and a tricycle has three wheels.",c*x+d*y=b;1*x+1*y=a
611,Bongani and Jane are friends. Bongani takes Jane's physics test paper and will not tell her what her mark is. He knows that Jane hates maths so he decides to tease her. Bongani says:I have 2 marks more than you do and the sum of both our marks is equal to 14. What are our marks?,1*x+1*y=b;1*x-1*y=a
612,"A fruit shake costs Rs. 2,00 more than a chocolate milk shake. If 3 fruit shakes and 5 chocolate milk shakes cost Rs. 78,00, determine the individual prices.",b*x+c*y=d;1*x+1*y=a
613,"Tickets for a football game are available for $29 in advance or $39 if purchased on the day of the game. The organizers had revenue of $68,000 for the game and they sold 2,000 tickets. How many tickets were sold in advance?",a*x+b*y=c;1*x+1*y=d
614,"Connor's birthday party costs 6 dollar for every guest he invites. If there are 7 guests, how much will Connor's birthday party cost?",x=a*b
615,"Naz's party costs 6 dollar for every guest he invites. If there are 7 guests, how much will Naz's party cost?",x=a*b
616,"Naz had already read 11 books this year before joining a book club, and she plans to read 1 book every month now that she has joinind. After belonging to the book club for 11 months, how many books will Naz have read in all?",x=a+b*c
617,"Jeanette had already read 11 books this year before joining a book club, and she plans to read 2 book every month now that she has joinind. After belonging to the book club for 11 months, how many books will Jeanette have read in all?",x=a+b*c
618,Jasoncan bake 9 biscuits with each scoop of flour.  How many scoops of flour does Jason need in order to bake 45 biscuits?,x=b/a
619,John bake 5 biscuits with each scoop of flour.  How many scoops of flour does John need in order to bake 45 biscuits?,x=b/a
620,"A student at St. F. X. decided to become his own employer by using his car as a taxi for the summer. It costs the student $693.00 to insure his car for the 4 months of summer. He spends $452.00 per month on gas. If he lives at home and has no other expenses for the 4 months of summer and charges an average of $7.00 per fare, how many fares will he have to get to be able to pay his tuition of $3280.00?",x=(a+b*c+f)/e
621,Frank is eight years older than his sister. In three years he will be twice as old as she is. How old are they now?,1*x-c*y=b*c-c;1*x-1*y=a
622,Karen is twice as old as Lori. Three years from now the sum of their ages will be 42. How old is Karen,1*x+1*y=c-b-b;1*x-a*y=0
623,Three ducks and two ducklings weigh 32 kg. Four ducks and three ducklings weigh 44kg. What is there individual weights?,a*x+b*y=c;d*x+e*y=f
624,Rahi is twice as old as Lori. Three years from now the sum of their ages will be 12. How old is Rahi and Lori?,1*x+1*y=c-b-b;1*x-a*y=1
625,Five ducks and two chickens weigh 35 kg. Four ducks and three chickens weigh 46kg. What is there individual weights?,a*x+b*y=c;d*x+e*y=f
626,"If 7 apples and 5 oranges equals 7 dollars and 12 apples and 1 orange equals 8 dollars , how much does each apple and each orange cost?",a*x+b*y=c;d*x+e*y=f
627,"A washer and dryer combination costs 1100 dollars. If the washer costs 230 dollars more than the dryer , what does the washer cost? How much does the dryer cost?",1*x+1*y=b;1*x-1*y=a
628,There are 11 animals in a barnyard. Some are chickens and some are cows. There are 24 legs in all. How many chickens and cows are in the barnyard?,2*x+4*y=b;1*x+1*y=a
629,Razia was 20 when her first son was born. Today the sum of their ages is 50. How old is Razia and her son now?,1*x+1*y=b;1*x-1*y=a
630,"Each unit of grain A contains 2 grams of fat and 60 calories , and unit B has 3 grams of fat and 70 calories. If the final product is to provide 20 grams of fat and 500 calories , how much of grain A and how much of grain B should be used.",a*x+b*y=e;c*x+d*y=f
631,Find two numbers whose sum is 15 and one is 2 greather than 3 of the other.,1*x-c*y=b;1*x+1*y=a
632,There are 12 animals in a barn. Some are chickens and some are pigs. There are 40 legs in the barn. How many are pigs are there and how many chicken are there?,2*x+4*y=b;1*x+1*y=a
633,3 times a number is added to 5 times a number to get 90. The second number is 2 less than the first. What is the smaller number? What is the larger number?,a*x+b*y=c;1*x-1*y=d
634,How many liters of a 40% acid solution must be mixed with a 30% acid solution to get 20 liters of a 70% solution?,a*x+b*y=c*d;1*x+1*y=c
635,"A real estate agent received a 5% commission on the selling price of a house. If his commission was $5,000, what was the selling price of the house?",x=b/a
636,"A shop sells bicycles and tricycles. In total there are 17 cycles and 51 wheels. Determine how many of each there are, if a bicycle has two wheels and a tricycle has three wheels.",c*x+d*y=b;1*x+1*y=a
637,"A fruit shake costs 2,00 more than a chocolate milk shake. If 3 fruit shakes and 5 chocolate milk shakes cost 78,00, determine the individual prices.",b*x+c*y=d;1*x+1*y=a
638,"Tickets for a football game are available for $20 in advance or $30 if purchased on the day of the game. The organizers had revenue of $60,000 for the game and they sold 3,000 tickets. How many tickets were sold in advance?",a*x+b*y=c;1*x+1*y=d
639,"Ahmed's birthday party costs 7 dollar for every guest he invites. If there are 11 guests, how much will Ahmed's birthday party cost?",x=a*b
640,"Nazia's party costs 18 dollar for every guest he invites. If there are 5 guests, how much will Nazia's party cost?",x=a*b
641,"Nazia had already read 10 books this year before joining a book club, and she plans to read 1 book every month now that she has joinind. After belonging to the book club for 10 months, how many books will Naz have read in all?",x=a+b*c
642,"Joan had already read 5 books this year before joining a book club, and she plans to read 1.5 book every month now that she has joinind. After belonging to the book club for 8 months, how many books will Jeanette have read in all?",x=a+b*c
643,Joan bake 2 biscuits with each scoop of flour.  How many scoops of flour does Joan need in order to bake 40 biscuits?,x=b/a
644,Maryam bake 5 biscuits with each scoop of flour.  How many scoops of flour does Maryam need in order to bake 45 biscuits?,x=b/a
645,"Ali at St. F. X. decided to become his own employer by using his car as a taxi for the summer. It costs the student $600.00 to insure his car for the 3 months of summer. He spends $40.00 per month on gas. If he lives at home and has no other expenses for the 3 months of summer and charges an average of $3.00 per fare, how many fares will he have to get to be able to pay his tuition of $3000.00?",x=(a+b*c+f)/e
646,Farooq is 8 years older than his sister. In three years he will be twice as old as she is. How old are they now?,1*x-c*y=b*c-c;1*x-1*y=a
647,Kiran is twice as old as Lorian. Three years from now the sum of their ages will be 45. How old is Kiran,1*x+1*y=c-b-b;1*x-a*y=0
648,Five ducks and two ducklings weigh 35kg. Four ducks and three ducklings weigh 40kg. What is there individual weights?,a*x+b*y=c;d*x+e*y=f
649,Raniya is twice as old as Khateeba. Three years from now the sum of their ages will be 12. How old is Raniya and Khateeba?,1*x+1*y=c-b-b;1*x-a*y=1
650,Six ducks and two chickens weigh 50kg. Four ducks and two chickens weigh 46kg. What is there individual weights?,a*x+b*y=c;d*x+e*y=f
651,A workshop enrolls Novelists and Poets in a ratio of 4 to 2. There are 20 people at the workshop. How many Novelists are there? How many Poets are there?,b*x-a*y=0;1*x+1*y=c
652,Ali is about to sell tickets for a high school play. Student tickets cost 3 dollars and general admission tickets cost 4 dollars. You sell 125 tickets and collect 270 dollars. How many student tickets and general admission tickets did you sell?,a*x+b*y=d;1*x+1*y=c
653,A store is selling compact discs for 10 dollars and 8 dollars. You buy 5 discs and spend a total of 90 dollars. How many compact discs did you buy that cost 10 dollars? How many did you buy that cost 8 dollars?,a*x+b*y=d;1*x+1*y=c
654,A chemist has one solution that is 10% acid and a second that is 20% acid. How many liters of each should be mixed together to get 90 liters that is 25% acid?,a*x+b*y=d*e;1*x+1*y=c
655,There are 30 students in a class. There are 10 fewer girls than boys. How many girls are in the class?,1*x+1*y=a;-1*x+1*y=b
656,"During the 2000-2001 Little League season , the Tigers played 50 games. They lost 20 more games than they won. They did n't tie any. How many games did they win that season?",1*x+1*y=a;-1*x+1*y=b
657,One number exceeds another by 7 and their sum is 30. Find the larger number.,1*x+1*y=a;-1*x+1*y=b
658,A chemistry lab can be used by 48 students at one time. The lab has 12 work-stations.  Some set up for 2 students and the others set up for 3 students. How many work-stations accommodate 2 students?,c*x+d*y=a;1*x+1*y=b
659,"A bricklayer and an electrician together spend 95 hours working on a new house. If the bricklayer earns 10 dollars per hour , the electrician earns 15 dollars an hour , and the owner pays them a total of 1500 dollars for their work , how many hours does the bricklayer work? How many hours does the electrician work?",b*x+c*y=d;1*x+1*y=a
